,Recommended,Review,count_exc,Polarity
2,0,major high wanted ordered small usual found small small reordered petite overall comfortable tight layer several cheap major,1,0.06241342
3,1,favorite fabulous great,3,0.5
4,1,flattering flattering due adjustable,3,0.458333333
5,0,petite reese petite tall full overwhelmed small shortening narrowing take returned,0,0.15
6,1,aded last went gorgeous mathced everythiing trying little decided said waas trying,0,0.1205
7,1,goes ordered pick used went nice went big go loose kept sold,0,0.224725275
8,1,flattering runs little snug ordered flattering feminine usual,0,-0.046875
9,1,ordered petite sure busty petite tight,1,0.254978355
10,0,made cheap small ordered sp tight pulling disappointed going say going,2,-0.088359788
12,1,perfect find reliant written savvy tried made lined reminiscent old lined solid periwinklecolored rid,3,0.283673469
13,1,big bought go larkspur lining xs fit say running big came,0,0.188095238
14,1,nice conservative related small small small waist big terrible got stuck,0,-0.075
15,1,nice took wanted put straight small sized tight said nice made happy,1,0.191269841
16,1,average height nice opening large waist make fluffy think imagine average height good,0,0.077777778
17,1,looks great took glad crazy photographed paired worked crisp fits great tucked go wrong,0,0.327083333
18,1,super flattering super dry good small great,0,0.135
19,1,stylish comfortable looking different new eve small chested fitting steamed ordered,1,0.420707071
20,1,get petite regular little long simple pregnant provides nice,1,0.194583333
21,1,torn upset embroidered think cried little opened say true big vibrant unique keep going wish,2,0.124621212
22,0,styling purchased knew large impossible second looks cheap tight described returning sure,1,-0.058095238
23,1,love cute little little high waisted good looks cheap appears pictured,0,0.298125
24,1,saw sure bought rocked careful feel overall great,1,0.28125
25,0,flat loved purchased large felt fell flat returned large med,0,0.232857143
26,0,huge excited arrive true made short wide light wide need moved nicer fit looked,0,0.08125
27,1,loved returned expected much go good weight,0,0.202083333
28,1,great several get many says underrated,3,0.16
29,1,great layering classic quirky beautiful practical cropped boxy mentioned make seethrough makes perfect layering showing underneath wearing little warm,1,0.329924242
31,1,given second online much right small paired navy,2,0.151255887
32,1,cleaned,0,0.311111111
33,0,ordered came huge much mentioned quotfelted thin made got worth paid going,1,0.086111111
34,1,great super added going funky,3,0.314583333
35,1,given second tried,3,0.375
37,1,ordered small gorgeous draped looks polished snapped unsnapped amazing ordered gray true,0,0.371428571
42,1,soft plaid love great,2,0.455102041
